[trainer] 从零训练：未加载预训练权重
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4L_fold3 fold=3 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4L_fold3] ep8 step41/249 loss=0.9176 {'ds': 0.402, 'seg': 0.562, 'cls': 0.316, 'special': 0.03, 'embed': 3.589}
[g4L_fold3] ep8 step61/249 loss=1.9388 {'ds': 0.895, 'seg': 1.326, 'cls': 0.426, 'special': 0.041, 'embed': 6.606}
[g4L_fold3] ep8 step81/249 loss=1.0327 {'ds': 0.333, 'seg': 0.463, 'cls': 0.687, 'special': 0.014, 'embed': 5.265}
[g4L_fold3] ep8 step101/249 loss=0.7137 {'ds': 0.409, 'seg': 0.582, 'cls': 0.408, 'special': 0.02, 'embed': 0.332}
[g4L_fold3] ep8 step121/249 loss=0.6451 {'ds': 0.147, 'seg': 0.178, 'cls': 0.343, 'special': 0.013, 'embed': 5.035}
[g4L_fold3] ep8 step141/249 loss=1.4925 {'ds': 0.729, 'seg': 0.982, 'cls': 0.357, 'special': 0.011, 'embed': 5.576}
[g4L_fold3] ep8 step161/249 loss=0.6965 {'ds': 0.19, 'seg': 0.258, 'cls': 0.504, 'special': 0.019, 'embed': 4.111}
[g4L_fold3] ep8 step181/249 loss=0.2773 {'ds': 0.16, 'seg': 0.193, 'cls': 0.319, 'special': 0.017, 'embed': 0.0}
[g4L_fold3] ep8 step201/249 loss=0.4886 {'ds': 0.268, 'seg': 0.368, 'cls': 0.456, 'special': 0.018, 'embed': 0.024}
[g4L_fold3] ep8 step221/249 loss=0.6307 {'ds': 0.351, 'seg': 0.508, 'cls': 0.481, 'special': 0.009, 'embed': 0.003}
[g4L_fold3] ep8 step241/249 loss=0.2468 {'ds': 0.127, 'seg': 0.148, 'cls': 0.385, 'special': 0.008, 'embed': 0.0}
[g4L_fold3] epoch 8 loss=0.5364 dice_core=0.8184 dice_peri=0.8967 thr=[0.8, 0.55] (197s)
[g4L_fold3] ep9 step21/249 loss=1.8831 {'ds': 1.041, 'seg': 1.45, 'cls': 0.297, 'special': 0.009, 'embed': 4.755}
[g4L_fold3] ep9 step41/249 loss=0.8327 {'ds': 0.471, 'seg': 0.631, 'cls': 0.504, 'special': 0.011, 'embed': 0.973}
[g4L_fold3] ep9 step61/249 loss=1.5474 {'ds': 0.43, 'seg': 0.578, 'cls': 0.924, 'special': 0.011, 'embed': 9.809}
[g4L_fold3] ep9 step81/249 loss=0.5818 {'ds': 0.1, 'seg': 0.12, 'cls': 0.544, 'special': 0.01, 'embed': 4.311}
[g4L_fold3] ep9 step101/249 loss=0.8683 {'ds': 0.585, 'seg': 0.789, 'cls': 0.294, 'special': 0.024, 'embed': 0.001}
[g4L_fold3] ep9 step121/249 loss=1.1982 {'ds': 0.583, 'seg': 0.82, 'cls': 0.485, 'special': 0.07, 'embed': 3.193}
[g4L_fold3] ep9 step141/249 loss=1.0872 {'ds': 0.2, 'seg': 0.239, 'cls': 0.443, 'special': 0.008, 'embed': 9.804}
[g4L_fold3] ep9 step161/249 loss=1.4715 {'ds': 0.868, 'seg': 1.236, 'cls': 0.905, 'special': 0.007, 'embed': 0.1}
[g4L_fold3] ep9 step181/249 loss=0.6414 {'ds': 0.376, 'seg': 0.487, 'cls': 0.612, 'special': 0.005, 'embed': 0.0}
