[trainer] 断点续训：epoch 78/100
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4_fold1 fold=1 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4_fold1] ep85 step141/249 loss=0.4754 {'ds': 0.193, 'seg': 0.268, 'cls': 0.807, 'special': 0.0, 'embed': 0.076}
[g4_fold1] ep85 step161/249 loss=0.1738 {'ds': 0.087, 'seg': 0.111, 'cls': 0.245, 'special': 0.005, 'embed': 0.011}
[g4_fold1] ep85 step181/249 loss=0.2478 {'ds': 0.123, 'seg': 0.171, 'cls': 0.266, 'special': 0.001, 'embed': 0.139}
[g4_fold1] ep85 step201/249 loss=0.2900 {'ds': 0.161, 'seg': 0.217, 'cls': 0.281, 'special': 0.001, 'embed': 0.039}
[g4_fold1] ep85 step221/249 loss=0.4241 {'ds': 0.198, 'seg': 0.296, 'cls': 0.513, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep85 step241/249 loss=0.2834 {'ds': 0.116, 'seg': 0.174, 'cls': 0.426, 'special': 0.0, 'embed': 0.032}
[g4_fold1] epoch 85 loss=0.2626 dice_core=0.9109 dice_peri=0.9542 thr=[0.35, 0.5] (855s)
[g4_fold1] ep86 step21/249 loss=0.3171 {'ds': 0.153, 'seg': 0.214, 'cls': 0.398, 'special': 0.0, 'embed': 0.046}
[g4_fold1] ep86 step41/249 loss=0.1571 {'ds': 0.07, 'seg': 0.094, 'cls': 0.251, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep86 step61/249 loss=0.2121 {'ds': 0.094, 'seg': 0.113, 'cls': 0.394, 'special': 0.001, 'embed': 0.003}
[g4_fold1] ep86 step81/249 loss=0.3165 {'ds': 0.142, 'seg': 0.194, 'cls': 0.478, 'special': 0.0, 'embed': 0.045}
[g4_fold1] ep86 step101/249 loss=0.1915 {'ds': 0.102, 'seg': 0.137, 'cls': 0.215, 'special': 0.0, 'embed': 0.012}
[g4_fold1] ep86 step121/249 loss=0.4691 {'ds': 0.216, 'seg': 0.292, 'cls': 0.69, 'special': 0.0, 'embed': 0.064}
[g4_fold1] ep86 step141/249 loss=0.2870 {'ds': 0.148, 'seg': 0.19, 'cls': 0.383, 'special': 0.0, 'embed': 0.011}
[g4_fold1] ep86 step161/249 loss=0.1702 {'ds': 0.084, 'seg': 0.108, 'cls': 0.249, 'special': 0.0, 'embed': 0.0}
[g4_fold1] ep86 step181/249 loss=0.2302 {'ds': 0.08, 'seg': 0.121, 'cls': 0.435, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep86 step201/249 loss=0.2126 {'ds': 0.076, 'seg': 0.109, 'cls': 0.41, 'special': 0.0, 'embed': 0.007}
[g4_fold1] ep86 step221/249 loss=0.2027 {'ds': 0.079, 'seg': 0.109, 'cls': 0.371, 'special': 0.0, 'embed': 0.01}
[g4_fold1] ep86 step241/249 loss=0.2197 {'ds': 0.103, 'seg': 0.135, 'cls': 0.334, 'special': 0.0, 'embed': 0.01}
[g4_fold1] epoch 86 loss=0.2574 dice_core=0.9111 dice_peri=0.9543 thr=[0.35, 0.5] (837s)
[g4_fold1] ep87 step21/249 loss=0.4455 {'ds': 0.219, 'seg': 0.301, 'cls': 0.575, 'special': 0.0, 'embed': 0.016}
[g4_fold1] ep87 step41/249 loss=0.2315 {'ds': 0.119, 'seg': 0.151, 'cls': 0.318, 'special': 0.0, 'embed': 0.014}
[g4_fold1] ep87 step61/249 loss=0.4933 {'ds': 0.264, 'seg': 0.364, 'cls': 0.51, 'special': 0.0, 'embed': 0.026}
[g4_fold1] ep87 step81/249 loss=0.2022 {'ds': 0.062, 'seg': 0.085, 'cls': 0.467, 'special': 0.0, 'embed': 0.01}
[g4_fold1] ep87 step101/249 loss=0.2288 {'ds': 0.11, 'seg': 0.155, 'cls': 0.295, 'special': 0.0, 'embed': 0.0}
[g4_fold1] ep87 step121/249 loss=0.5318 {'ds': 0.196, 'seg': 0.394, 'cls': 0.552, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep87 step141/249 loss=0.2314 {'ds': 0.112, 'seg': 0.148, 'cls': 0.329, 'special': 0.0, 'embed': 0.009}
[g4_fold1] ep87 step161/249 loss=0.1650 {'ds': 0.073, 'seg': 0.103, 'cls': 0.245, 'special': 0.0, 'embed': 0.013}
[g4_fold1] ep87 step181/249 loss=0.2020 {'ds': 0.077, 'seg': 0.101, 'cls': 0.402, 'special': 0.0, 'embed': 0.006}
[g4_fold1] ep87 step201/249 loss=0.1408 {'ds': 0.063, 'seg': 0.09, 'cls': 0.203, 'special': 0.001, 'embed': 0.004}
[g4_fold1] ep87 step221/249 loss=0.3315 {'ds': 0.143, 'seg': 0.196, 'cls': 0.533, 'special': 0.001, 'embed': 0.026}
[g4_fold1] ep87 step241/249 loss=0.3514 {'ds': 0.214, 'seg': 0.3, 'cls': 0.205, 'special': 0.0, 'embed': 0.002}
[g4_fold1] epoch 87 loss=0.2504 dice_core=0.9113 dice_peri=0.9545 thr=[0.4, 0.5] (795s)
[g4_fold1] ep88 step21/249 loss=0.5083 {'ds': 0.101, 'seg': 0.402, 'cls': 0.424, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep88 step41/249 loss=0.2948 {'ds': 0.147, 'seg': 0.203, 'cls': 0.368, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep88 step61/249 loss=0.2140 {'ds': 0.102, 'seg': 0.133, 'cls': 0.323, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep88 step81/249 loss=0.2083 {'ds': 0.105, 'seg': 0.148, 'cls': 0.24, 'special': 0.0, 'embed': 0.009}
[g4_fold1] ep88 step101/249 loss=0.2146 {'ds': 0.086, 'seg': 0.122, 'cls': 0.364, 'special': 0.0, 'embed': 0.025}
[g4_fold1] ep88 step121/249 loss=0.3596 {'ds': 0.205, 'seg': 0.276, 'cls': 0.334, 'special': 0.0, 'embed': 0.006}
[g4_fold1] ep88 step141/249 loss=0.2261 {'ds': 0.059, 'seg': 0.086, 'cls': 0.553, 'special': 0.0, 'embed': 0.019}
[g4_fold1] ep88 step161/249 loss=0.3079 {'ds': 0.159, 'seg': 0.225, 'cls': 0.31, 'special': 0.0, 'embed': 0.07}
[g4_fold1] ep88 step181/249 loss=0.2265 {'ds': 0.112, 'seg': 0.158, 'cls': 0.274, 'special': 0.0, 'embed': 0.003}
[g4_fold1] ep88 step201/249 loss=0.2658 {'ds': 0.135, 'seg': 0.18, 'cls': 0.339, 'special': 0.0, 'embed': 0.01}
[g4_fold1] ep88 step221/249 loss=0.3192 {'ds': 0.156, 'seg': 0.21, 'cls': 0.434, 'special': 0.0, 'embed': 0.012}
[g4_fold1] ep88 step241/249 loss=0.1934 {'ds': 0.073, 'seg': 0.091, 'cls': 0.408, 'special': 0.0, 'embed': 0.01}
[g4_fold1] epoch 88 loss=0.2639 dice_core=0.9115 dice_peri=0.9544 thr=[0.4, 0.5] (829s)
[g4_fold1] ep89 step21/249 loss=0.5684 {'ds': 0.348, 'seg': 0.51, 'cls': 0.23, 'special': 0.0, 'embed': 0.011}
[g4_fold1] ep89 step41/249 loss=0.5641 {'ds': 0.365, 'seg': 0.468, 'cls': 0.384, 'special': 0.0, 'embed': 0.004}
[g4_fold1] ep89 step61/249 loss=0.2298 {'ds': 0.097, 'seg': 0.142, 'cls': 0.338, 'special': 0.0, 'embed': 0.04}
[g4_fold1] ep89 step81/249 loss=0.1969 {'ds': 0.065, 'seg': 0.089, 'cls': 0.428, 'special': 0.0, 'embed': 0.017}
[g4_fold1] ep89 step101/249 loss=0.4581 {'ds': 0.229, 'seg': 0.389, 'cls': 0.26, 'special': 0.0, 'embed': 0.048}
[g4_fold1] ep89 step121/249 loss=0.3084 {'ds': 0.181, 'seg': 0.234, 'cls': 0.298, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep89 step141/249 loss=0.1540 {'ds': 0.064, 'seg': 0.082, 'cls': 0.286, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep89 step161/249 loss=1.0022 {'ds': 0.284, 'seg': 0.899, 'cls': 0.409, 'special': 0.0, 'embed': 0.007}
[g4_fold1] ep89 step181/249 loss=0.1487 {'ds': 0.068, 'seg': 0.087, 'cls': 0.246, 'special': 0.0, 'embed': 0.004}
[g4_fold1] ep89 step201/249 loss=0.1866 {'ds': 0.106, 'seg': 0.141, 'cls': 0.178, 'special': 0.0, 'embed': 0.007}
[g4_fold1] ep89 step221/249 loss=0.1632 {'ds': 0.062, 'seg': 0.079, 'cls': 0.336, 'special': 0.0, 'embed': 0.006}
